age,position,apps,goals,assists,shots,motm,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,through_passes,club_position
25,1,9,1,1,1.1,0,6.68,1.1,0.9,0.9,0.6,0.4,18.6,0.1,1
23,0,32,8,6,2.4,4,6.89,1.0,0.4,0.5,1.5,1.4,24.1,0.0,12
39,3,38,0,0,0.0,2,6.93,0.0,0.1,1.5,0.1,0.1,32.1,0.0,17
24,0,19,4,1,1.2,1,6.71,1.5,0.6,0.4,0.6,0.8,28.5,0.1,5
27,1,14,1,1,0.8,0,6.64,1.4,1.1,2.1,1.1,0.5,36.1,0.0,19
27,2,5,0,0,0.0,0,6.38,2.0,3.8,3.2,0.0,0.6,34.4,0.0,14
26,0,15,3,3,1.5,0,6.55,0.7,0.3,0.5,0.7,0.2,16.5,0.1,2
24,1,2,0,1,0.5,0,6.51,2.3,1.1,0.3,0.4,0.1,16.5,0.0,2
26,1,24,1,5,0.1,2,6.99,1.7,2.6,1.9,0.9,1.0,37.7,0.0,10
30,1,29,0,2,0.7,0,7.14,2.2,1.7,2.4,1.0,1.6,50.2,0.0,2
27,3,38,0,0,0.0,1,7.0,0.0,0.0,0.4,0.0,0.1,15.7,0.0,10
29,2,31,1,3,0.6,2,6.67,1.9,0.9,0.8,0.9,1.3,42.0,0.1,17
23,1,19,1,3,0.8,2,6.97,2.3,2.0,1.9,0.8,0.7,33.6,0.0,10
20,0,0,0,1,0.0,0,6.78,1.0,0.0,0.0,2.0,0.0,12.0,0.0,4
23,1,20,0,1,0.3,2,7.09,3.3,1.8,3.1,0.3,1.0,43.0,0.0,8
27,1,9,2,2,0.8,1,6.61,1.2,0.5,0.3,1.1,1.3,22.3,0.0,3
21,0,2,0,0,0.9,0,6.07,0.3,0.3,0.3,0.0,0.4,10.3,0.0,16
23,3,22,0,0,0.0,0,6.48,0.0,0.1,1.2,0.0,0.0,33.4,0.0,13
25,1,5,0,0,0.3,0,6.85,3.0,1.1,2.0,0.9,1.3,25.9,0.0,9
20,1,9,0,0,0.6,0,6.66,2.0,1.0,0.1,0.6,0.9,24.4,0.0,6
23,0,19,9,5,2.3,3,6.98,0.9,0.2,0.2,1.2,1.3,14.7,0.0,8
28,0,23,4,2,1.4,0,6.62,1.2,0.4,0.9,0.9,0.9,20.1,0.0,15
38,2,25,0,0,0.0,0,6.83,1.3,2.8,4.7,0.2,0.4,42.1,0.0,14
29,2,14,1,0,0.4,0,6.75,1.7,3.1,2.4,0.6,0.4,37.8,0.3,13
25,3,2,0,0,0.0,0,6.12,0.0,0.0,0.0,0.0,0.0,25.5,0.0,15
21,2,14,0,0,0.2,0,6.52,1.9,0.6,1.3,0.1,0.3,32.9,0.0,5
29,1,22,2,3,1.0,1,6.71,1.5,0.7,0.3,1.4,0.8,17.4,0.0,11
32,1,1,0,0,0.0,0,6.51,1.0,1.0,0.0,1.0,0.0,32.0,0.0,9
29,0,24,11,1,1.6,0,6.51,0.1,0.0,0.4,0.5,0.2,15.1,0.0,6
24,1,35,5,0,1.1,0,6.9,2.0,2.1,1.5,0.4,1.1,38.5,0.1,15
31,1,5,0,0,0.2,0,6.75,2.0,1.0,3.2,1.0,0.7,30.5,0.0,3
24,0,17,3,1,1.3,1,6.55,1.3,0.4,0.3,0.8,0.6,12.8,0.1,15
35,1,4,0,0,0.9,0,6.28,0.4,0.4,0.1,0.4,1.4,17.1,0.0,18
35,0,17,14,1,1.9,3,6.7,0.2,0.1,0.4,0.4,0.0,16.0,0.0,12
22,2,3,0,0,0.4,0,6.72,2.8,1.8,2.2,0.2,1.0,24.8,0.0,12
22,1,13,2,4,0.8,2,6.73,1.5,1.0,0.6,1.2,0.5,15.5,0.0,12
27,1,4,2,0,1.2,0,6.43,0.8,0.4,0.1,0.5,0.3,8.2,0.2,15
28,0,23,5,6,1.6,2,6.74,0.5,0.6,0.2,1.2,1.7,19.7,0.0,18
29,3,30,0,0,0.0,1,6.47,0.0,0.0,0.9,0.0,0.0,26.0,0.0,17
29,0,2,0,1,0.4,0,6.18,0.1,0.3,0.1,0.3,0.0,5.9,0.0,11
26,0,34,11,4,1.8,4,7.13,1.6,0.4,0.6,1.7,1.1,28.7,0.1,11
20,1,0,0,0,0.0,0,5.95,0.0,0.0,0.0,0.0,0.5,8.0,0.0,7
36,3,12,0,0,0.0,0,7.01,0.0,0.0,1.1,0.0,0.0,26.2,0.0,15
31,2,6,0,2,0.6,0,6.85,1.5,0.4,2.0,2.0,0.5,31.6,0.0,10
29,1,19,6,3,1.1,1,6.79,0.9,0.9,0.3,0.9,1.1,22.8,0.0,7
29,1,19,2,2,1.3,0,6.81,1.8,1.8,1.0,0.8,0.6,28.5,0.0,4
34,0,14,2,5,0.8,0,6.54,0.3,0.1,0.1,1.6,0.8,30.9,0.2,15
33,1,9,1,1,0.8,0,6.97,2.7,1.5,1.1,0.4,0.9,34.4,0.1,3
28,1,12,1,0,0.5,0,7.22,2.6,2.6,3.0,0.8,0.5,41.3,0.1,10
29,1,0,1,0,0.5,0,6.31,0.8,0.3,0.5,0.0,0.3,5.3,0.0,3
24,2,17,0,2,0.2,0,6.63,1.4,1.9,4.1,0.2,0.0,29.2,0.0,5
30,2,27,1,0,0.4,0,6.45,0.9,1.2,4.2,0.0,0.2,36.5,0.0,15
31,1,10,0,2,0.4,0,6.33,0.8,0.7,1.0,0.8,0.2,19.5,0.0,20
29,3,1,0,0,0.0,0,7.41,0.0,0.0,1.0,0.0,0.0,26.0,0.0,1
21,0,1,0,0,2.0,0,6.44,0.7,0.0,0.0,0.0,1.0,7.0,0.0,20
29,1,24,4,0,1.2,0,6.4,0.9,0.4,0.6,0.5,0.9,18.4,0.0,19
22,1,14,2,2,0.7,0,6.36,1.1,0.3,0.6,0.6,1.0,17.4,0.0,19
31,1,17,0,1,0.3,0,6.57,1.0,1.0,1.3,0.8,0.5,33.9,0.0,4
30,1,24,2,8,0.7,1,6.93,0.9,0.5,1.7,0.9,0.4,30.7,0.0,1
22,1,11,0,3,1.0,0,6.76,2.1,2.2,0.4,0.8,0.7,18.0,0.0,16
22,2,11,0,1,0.0,0,6.3,1.1,0.6,1.2,0.2,0.3,14.8,0.0,18
32,0,18,4,1,3.2,1,6.88,0.8,0.2,0.4,1.5,1.3,36.7,0.5,9
24,2,5,0,0,0.6,2,7.25,2.9,2.0,10.3,0.3,0.4,24.4,0.0,14
29,1,22,0,1,0.2,2,6.7,2.3,0.8,2.9,0.4,0.2,36.5,0.0,17
28,0,2,0,0,2.5,0,6.49,0.0,0.5,0.0,1.5,1.0,12.5,0.0,7
20,1,33,1,2,0.2,1,6.95,2.5,1.8,4.5,0.5,0.5,41.2,0.0,9
29,2,2,1,0,0.7,0,6.33,0.7,1.3,2.7,0.0,0.3,16.3,0.0,18
20,1,8,0,0,0.1,0,6.59,1.7,0.8,3.9,0.3,0.9,14.7,0.0,13
23,0,1,0,1,1.6,0,6.38,0.8,0.1,0.1,0.7,0.7,11.6,0.0,8
33,0,6,0,1,0.5,0,6.18,0.1,0.1,0.5,0.1,0.0,6.7,0.0,10
21,1,1,0,0,0.0,0,6.49,3.0,0.0,0.0,0.0,1.0,19.0,0.0,1
22,2,28,1,1,0.1,0,6.78,1.7,1.9,4.8,0.6,0.6,28.5,0.0,15
18,0,0,0,0,0.0,0,5.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
35,1,17,9,2,1.5,0,6.55,0.6,0.6,0.0,0.4,0.2,10.3,0.0,15
21,1,30,0,1,0.2,0,6.58,1.7,2.3,2.8,0.5,0.1,28.0,0.0,19
27,3,31,0,0,0.0,0,6.91,0.0,0.0,0.8,0.0,0.0,20.9,0.0,5
22,1,5,0,1,0.4,0,6.27,0.8,0.6,0.4,0.3,1.0,12.8,0.1,19
22,2,1,0,0,0.5,0,5.42,0.0,0.0,0.0,0.0,0.0,7.0,0.0,20
24,1,30,3,3,1.1,0,6.79,2.3,0.8,0.4,0.9,0.6,39.1,0.1,9
24,0,36,22,3,3.8,5,7.13,0.4,0.3,0.1,1.6,1.0,34.3,0.2,11
23,1,24,3,3,0.8,2,6.88,1.7,1.0,1.2,0.4,1.0,37.6,0.1,9
29,1,8,1,0,0.9,0,6.22,0.5,0.6,0.1,0.5,0.5,12.9,0.0,18
32,0,14,3,1,1.3,1,6.6,0.5,0.6,0.5,0.8,0.9,17.5,0.0,14
30,3,26,0,0,0.0,0,6.89,0.2,0.0,1.2,0.0,0.0,30.3,0.0,13
25,2,11,0,0,0.3,0,7.08,3.2,1.8,8.7,0.1,0.3,38.5,0.0,15
32,1,9,0,0,0.3,0,6.63,1.4,1.9,1.7,0.8,0.1,29.8,0.0,8
22,1,0,0,0,0.5,0,6.16,0.5,0.5,0.0,0.5,0.0,5.5,0.0,5
20,1,0,0,0,1.0,0,6.07,0.0,0.0,0.0,0.0,0.0,8.0,0.0,14
28,1,7,6,1,1.2,1,6.55,0.4,0.3,0.3,0.7,1.0,10.4,0.1,11
29,0,28,6,6,1.5,5,7.08,1.0,0.6,0.4,1.6,2.6,30.1,0.1,3
26,2,27,3,1,0.6,1,7.1,1.7,1.7,6.8,0.1,0.0,44.8,0.0,4
26,1,28,2,0,0.5,0,6.64,2.4,1.3,1.9,0.5,0.6,31.5,0.1,17
22,1,13,0,0,0.9,0,6.66,2.5,1.6,1.0,0.3,0.4,25.1,0.1,18
25,1,22,0,0,0.3,0,7.03,2.4,1.8,6.3,0.3,0.8,33.4,0.0,16
22,0,3,8,0,1.7,0,6.66,0.4,0.1,0.2,0.6,0.4,7.3,0.0,3
36,1,22,1,0,0.7,0,6.68,1.4,2.5,1.0,0.4,0.4,38.3,0.0,15
25,0,0,0,0,0.0,0,6.06,0.3,0.0,0.0,0.0,0.0,3.0,0.0,19
25,1,8,0,0,1.0,0,6.62,2.2,0.5,1.0,0.6,1.5,11.5,0.1,16
28,0,2,0,0,2.7,0,6.29,1.0,0.7,0.0,1.3,0.0,13.0,0.0,18
29,1,13,0,0,0.6,0,6.84,2.2,3.0,4.3,0.2,0.3,33.2,0.1,18
24,1,31,1,1,0.5,1,6.8,2.1,1.3,2.6,1.1,1.0,35.5,0.0,15
22,1,29,9,13,2.2,6,7.62,0.7,0.8,0.0,3.0,2.3,34.9,0.1,3
27,1,26,0,0,0.4,0,6.58,1.7,1.6,1.2,0.7,1.1,30.1,0.0,17
27,1,10,0,4,1.1,0,7.17,2.7,1.6,1.1,1.7,0.7,48.5,0.0,3
25,0,6,4,0,0.7,0,6.63,0.2,0.0,0.8,0.5,0.2,13.6,0.0,5
18,1,0,0,0,2.0,0,5.96,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6
33,0,3,0,2,0.6,0,6.29,0.4,0.0,0.1,0.8,0.3,8.5,0.0,6
35,3,16,0,0,0.0,2,6.93,0.1,0.1,1.3,0.1,0.0,30.3,0.0,20
32,1,7,0,0,0.2,0,6.44,1.0,0.9,1.5,0.3,0.5,23.2,0.0,13
30,2,33,4,1,0.6,1,7.27,1.9,2.6,6.3,0.4,0.1,50.6,0.1,4
19,1,0,0,0,0.3,0,6.1,0.3,0.0,0.0,0.5,0.0,9.3,0.0,8
25,1,20,0,1,0.5,0,6.7,2.1,2.3,1.9,0.5,0.7,39.5,0.0,14
24,1,0,0,0,0.5,0,6.03,0.5,0.0,0.0,1.0,0.5,9.5,0.0,13
19,0,1,0,0,0.8,0,6.18,0.5,0.0,0.0,0.5,0.8,6.3,0.0,17
26,0,5,1,0,0.9,0,6.2,0.2,0.3,0.2,0.3,0.1,9.3,0.0,14
23,0,4,0,0,0.8,0,6.46,1.1,0.3,0.7,0.5,1.4,16.8,0.0,15
27,1,6,1,1,0.4,0,6.44,1.3,0.4,0.2,0.2,0.3,22.8,0.0,2
18,1,0,0,0,0.0,0,6.13,1.0,0.5,0.0,0.0,0.0,1.0,0.0,8
26,0,3,1,0,1.2,0,6.26,0.5,0.3,0.0,0.5,0.5,10.3,0.1,7
20,1,2,0,0,0.4,0,6.28,0.4,0.1,0.1,0.3,1.1,7.0,0.0,15
27,1,6,0,1,0.8,0,6.25,0.9,0.4,0.9,0.9,0.4,13.9,0.1,15
29,0,8,0,0,1.3,0,6.57,2.7,0.6,0.4,0.8,0.2,35.4,0.2,10
25,2,31,1,0,0.3,0,6.67,1.9,1.7,4.1,0.3,0.3,47.9,0.0,18
22,1,33,7,3,1.6,2,7.02,1.0,1.5,1.6,1.3,1.4,41.5,0.0,16
29,1,20,1,2,1.6,0,6.66,1.7,1.4,0.3,1.6,1.5,25.0,0.1,19
19,0,1,0,0,1.0,0,6.55,1.0,0.0,0.3,0.0,2.3,10.3,0.0,12
30,2,10,0,0,0.2,0,6.8,2.1,1.3,1.7,1.1,1.9,31.4,0.0,17
29,1,17,5,4,1.1,1,6.59,0.8,0.6,0.3,1.0,0.6,19.5,0.0,15
30,1,16,2,3,1.0,2,6.96,2.5,1.7,1.0,0.7,0.5,44.5,0.1,6
31,0,0,0,0,0.6,0,6.16,0.1,0.1,0.0,0.0,0.8,3.6,0.1,13
20,0,0,0,0,1.0,0,6.38,1.0,1.0,0.0,0.0,2.0,8.0,0.0,18
24,1,9,1,2,0.5,1,6.68,1.2,1.3,0.3,0.6,0.6,25.5,0.1,2
20,1,0,0,0,0.0,0,6.15,1.5,0.5,0.0,0.0,0.0,8.0,0.0,17
28,0,23,10,0,2.5,1,7.0,0.9,0.3,1.0,1.2,0.4,16.0,0.1,15
25,1,7,0,2,0.5,0,6.67,2.3,0.3,0.5,0.8,1.5,47.3,0.1,7
22,3,5,0,0,0.0,0,6.15,0.0,0.0,2.0,0.0,0.0,28.2,0.0,15
24,1,0,0,0,0.0,0,6.02,0.0,0.0,0.0,0.0,0.0,5.5,0.0,9
31,1,15,0,0,0.2,1,6.54,2.0,1.4,2.0,0.4,0.0,25.9,0.0,6
30,1,32,2,1,1.1,1,6.94,1.5,0.9,1.6,0.9,1.3,38.9,0.0,11
19,0,5,2,0,0.6,0,6.36,0.6,0.2,0.3,0.1,0.7,10.8,0.0,8
23,1,31,0,5,0.3,0,6.91,2.8,1.8,0.3,1.4,0.8,30.8,0.2,4
23,1,8,1,4,0.5,2,7.6,3.6,2.4,1.1,1.5,0.4,52.3,0.1,11
27,1,19,2,0,1.9,0,6.89,1.8,0.9,0.6,1.5,0.8,20.4,0.1,14
31,0,4,3,0,0.6,0,6.32,0.4,0.1,0.2,0.5,0.3,9.5,0.0,10
27,0,9,0,3,1.4,0,6.77,0.6,1.0,0.0,1.2,1.7,16.6,0.4,12
22,1,10,0,1,0.2,0,6.6,1.3,0.9,3.6,0.2,0.2,45.6,0.0,18
24,1,10,2,0,1.0,0,6.88,0.9,1.5,0.1,0.5,2.2,23.6,0.2,17
33,2,35,1,3,0.4,1,7.04,1.5,1.6,7.9,0.3,0.1,47.8,0.0,7
23,1,22,2,5,1.1,0,6.55,1.2,0.8,0.2,1.2,0.5,16.0,0.0,19
33,0,27,12,3,1.6,1,6.75,0.6,0.3,0.7,0.5,1.1,19.4,0.0,10
22,2,24,0,0,0.5,3,6.83,1.3,3.2,3.4,0.0,0.4,43.2,0.0,8
28,0,22,6,1,1.8,1,6.46,0.5,0.4,0.4,0.5,0.5,12.9,0.0,10
23,1,0,0,0,0.0,0,6.01,0.0,0.0,0.0,0.0,0.0,3.0,0.0,17
26,2,2,0,0,0.8,0,6.5,1.3,1.0,1.8,0.0,0.0,32.0,0.0,6
23,3,33,0,0,0.0,1,6.85,0.0,0.0,0.7,0.0,0.0,27.3,0.0,9
31,0,22,4,4,1.3,2,6.87,1.4,0.3,0.3,1.1,1.4,19.5,0.1,12
19,1,0,0,0,1.0,0,6.77,1.0,1.0,4.0,0.0,0.0,22.0,0.0,11
27,1,3,0,1,1.2,0,6.28,2.6,0.6,0.8,1.4,0.6,27.4,0.0,14
26,3,28,0,0,0.0,1,6.59,0.1,0.0,0.9,0.0,0.0,36.5,0.0,18
32,1,36,3,2,0.9,0,7.08,1.1,1.0,4.0,0.6,0.3,72.8,0.3,3
20,0,4,1,0,1.0,1,6.4,0.5,0.4,0.0,1.0,0.3,15.4,0.0,18
23,0,0,0,0,1.3,0,6.12,0.3,0.0,0.0,0.3,0.3,4.8,0.0,10
33,1,8,0,0,0.4,0,6.71,1.1,1.8,6.7,0.1,0.1,23.0,0.0,19
26,0,5,1,3,1.1,0,6.3,0.8,0.1,0.1,0.4,0.2,5.9,0.0,13
24,0,13,1,3,0.7,0,6.49,0.7,0.2,0.3,0.6,1.0,19.8,0.0,7
27,0,30,9,2,2.0,3,7.15,1.6,1.3,0.5,1.9,1.3,37.3,0.7,15
25,0,23,15,9,1.9,3,7.55,0.8,0.5,0.8,1.3,1.0,27.0,0.1,7
21,0,7,1,1,1.1,0,6.38,0.9,0.3,0.7,0.7,0.0,20.0,0.0,15
19,1,0,0,0,0.5,0,5.96,0.0,0.0,0.0,0.5,0.0,4.5,0.0,2
17,2,0,0,0,0.0,0,6.17,1.0,0.0,0.0,0.0,0.0,6.0,0.0,10
25,1,0,0,0,1.3,0,6.24,0.2,0.2,0.0,0.5,0.5,11.0,0.2,2
22,1,18,1,3,1.6,1,7.32,2.1,2.0,1.1,1.6,2.4,34.4,0.1,11
32,2,2,0,0,0.0,0,5.7,2.0,3.0,5.0,0.0,0.0,42.5,0.0,13
30,1,4,0,2,0.0,1,6.48,1.1,0.5,1.1,0.6,0.2,24.9,0.0,2
23,2,10,0,1,0.3,0,6.82,1.0,2.9,5.9,0.1,0.1,52.1,0.0,10
21,0,9,4,4,1.4,1,6.86,0.5,0.3,0.5,1.0,2.1,24.2,0.1,2
23,1,15,3,3,2.0,2,6.88,1.4,1.2,0.1,0.9,1.6,21.9,0.0,15
23,0,27,13,4,2.6,2,7.43,1.0,1.3,0.7,0.8,1.7,32.2,0.1,3
26,1,0,0,0,1.0,0,6.21,0.2,0.7,0.0,0.2,0.3,9.8,0.0,9
31,0,3,0,1,0.5,0,6.27,0.7,0.8,0.7,0.3,0.0,9.5,0.0,6
39,0,7,0,1,0.3,0,6.17,0.1,0.1,0.0,0.5,0.5,11.6,0.1,19
33,2,32,7,2,1.6,5,7.78,2.5,3.7,5.0,0.3,0.6,54.0,0.0,2
27,3,17,0,0,0.0,1,6.83,0.1,0.1,1.1,0.0,0.0,34.1,0.0,19
21,1,1,0,0,1.8,0,6.28,0.7,0.2,0.0,0.2,0.3,10.3,0.0,17
28,0,20,7,2,0.8,2,6.5,1.0,0.2,0.8,0.6,0.4,26.5,0.0,19
26,1,18,1,1,1.2,1,6.69,2.3,0.6,1.7,0.5,0.4,25.6,0.0,9
26,2,28,0,1,0.4,1,6.93,2.4,3.5,4.0,0.1,0.2,32.3,0.0,18
20,0,0,0,0,0.4,0,6.14,1.0,0.2,0.0,0.2,0.0,4.2,0.0,13
29,1,24,1,0,1.2,3,6.98,3.3,1.8,1.3,0.2,1.3,45.6,0.1,8
27,3,2,0,0,0.0,0,6.9,0.0,0.0,0.0,0.0,0.0,26.5,0.0,12
22,0,1,0,0,0.3,0,5.98,0.0,0.3,0.3,0.3,0.3,8.3,0.0,7
26,0,25,8,4,1.4,1,6.75,1.1,0.2,0.5,0.8,0.4,15.6,0.0,8
29,2,34,5,2,0.9,1,7.06,2.0,2.9,5.1,0.4,0.4,30.5,0.1,8
35,1,35,3,7,0.9,5,7.01,1.7,1.4,1.1,2.2,0.8,74.8,0.1,18
33,3,1,0,0,0.0,0,6.18,0.0,0.0,0.0,0.0,0.0,45.0,0.0,3
27,1,29,0,5,0.6,0,6.66,1.7,0.6,1.6,1.2,0.5,30.9,0.0,10
27,0,10,6,0,1.6,1,6.65,0.3,0.1,0.6,0.4,0.3,9.7,0.1,7
23,1,3,0,0,0.7,0,6.28,0.7,0.7,0.2,0.2,0.0,13.0,0.0,17
30,2,22,0,0,0.0,0,6.63,0.9,1.5,6.5,0.0,0.0,44.1,0.0,16
28,1,9,2,1,0.8,0,6.56,1.1,1.2,1.0,0.4,0.3,19.0,0.0,1
23,3,3,0,0,0.0,0,6.57,0.0,0.3,0.3,0.0,0.0,14.0,0.0,15
23,1,21,4,0,1.2,0,6.63,1.3,0.8,0.6,0.5,0.9,24.0,0.0,5
24,1,20,0,0,0.4,0,6.72,2.1,2.4,1.1,0.2,0.4,36.7,0.0,14
22,1,27,1,4,0.6,0,6.74,3.0,0.7,0.5,0.8,1.1,33.3,0.0,11
20,2,25,1,0,0.4,0,6.79,1.6,2.0,3.3,0.1,0.1,36.4,0.0,9
25,0,26,8,3,2.0,1,7.03,0.4,0.6,1.5,1.1,0.3,23.0,0.1,8
24,1,23,2,1,0.9,0,6.51,1.4,1.1,0.9,0.4,0.4,39.2,0.0,14
21,1,3,0,1,0.0,0,6.38,0.8,0.2,0.2,0.7,0.4,20.7,0.1,5
24,1,11,1,0,0.8,0,7.03,2.8,3.7,2.4,0.6,0.3,31.1,0.2,15
29,1,19,1,0,0.1,1,6.67,2.4,1.6,2.4,0.2,0.2,33.4,0.0,18
26,1,24,2,4,1.8,0,6.79,1.4,0.9,0.2,1.6,1.3,23.2,0.1,16
23,0,0,0,0,0.0,0,6.12,0.0,0.0,0.0,0.0,1.0,8.0,0.0,11
30,3,2,0,0,0.0,0,6.96,0.0,0.0,0.0,0.0,0.0,21.0,0.0,13
20,0,1,0,1,0.2,0,6.12,0.3,0.0,0.0,0.5,0.3,7.5,0.0,5
26,0,8,1,3,1.0,0,6.41,0.5,0.2,0.4,0.4,0.5,6.1,0.1,9
20,0,1,0,0,1.0,0,6.02,0.0,0.3,0.0,0.0,0.2,6.3,0.0,15
26,1,9,1,0,0.9,0,6.81,1.8,1.6,0.6,0.6,0.7,32.4,0.1,4
