age,position,apps,goals,assists,shots,motm,rating,tackles,interceptions,clearances,key_passes,dribblings,avg_passes,through_passes,club_position
29,1,0,0,0,0.0,0,6.32,0.0,1.0,0.0,0.0,0.0,10.0,0.0,8
28,3,26,0,0,0.0,0,6.76,0.0,0.0,0.5,0.0,0.0,22.1,0.0,4
29,0,9,3,0,2.8,1,6.71,0.1,0.9,0.4,0.5,0.7,16.8,0.0,9
24,0,14,7,1,1.9,2,6.6,0.4,0.2,0.2,0.5,0.6,16.4,0.1,8
33,2,21,1,1,0.6,0,7.27,1.6,2.5,3.4,0.3,0.3,54.2,0.1,2
22,1,7,1,0,0.5,0,6.67,2.2,1.5,0.5,0.5,1.5,24.7,0.1,7
20,0,4,2,1,1.1,1,6.92,1.4,0.9,0.0,0.7,1.1,9.4,0.0,10
36,1,4,1,0,0.8,0,6.4,0.6,0.2,0.4,0.8,0.2,16.9,0.0,10
26,1,8,0,0,0.4,0,6.44,2.3,0.9,0.5,0.6,0.7,23.5,0.1,17
33,0,1,1,1,0.5,0,6.1,0.1,0.0,0.0,0.3,0.0,4.3,0.0,16
21,0,0,0,0,0.0,0,6.12,0.0,0.0,0.0,0.0,2.0,5.0,0.0,13
27,0,14,7,1,1.4,0,6.65,0.1,0.1,0.2,0.5,0.1,11.2,0.0,16
32,3,19,0,0,0.0,0,6.57,0.0,0.0,1.5,0.1,0.1,30.2,0.0,19
28,0,25,3,4,1.2,0,6.86,0.8,0.6,0.0,1.2,1.3,31.7,0.1,1
23,1,23,1,4,0.9,1,6.8,1.3,0.5,0.4,0.9,1.3,44.0,0.0,2
32,2,23,1,0,0.5,0,6.73,1.1,1.2,5.0,0.1,0.0,49.0,0.0,9
19,0,0,0,0,0.3,0,5.98,0.3,0.3,0.0,0.0,0.0,1.8,0.0,17
27,2,12,0,1,0.0,0,6.78,1.3,1.1,9.7,0.3,0.0,19.4,0.0,17
23,0,27,8,4,1.3,2,6.85,1.1,0.7,0.4,0.8,1.9,23.0,0.1,2
23,0,2,0,0,0.6,0,6.0,0.3,0.1,0.1,0.0,0.0,4.9,0.0,13
29,1,29,1,2,0.7,0,6.73,1.6,0.8,1.2,0.5,0.3,70.6,0.1,8
25,1,14,0,1,0.2,0,6.68,2.3,1.9,0.8,0.4,0.4,28.6,0.0,9
35,1,28,0,0,0.3,0,6.83,1.3,1.1,8.0,0.2,0.0,30.5,0.0,18
28,1,17,2,2,1.8,0,6.85,1.6,0.2,0.6,1.5,1.1,35.2,0.1,10
29,0,11,4,4,1.3,0,6.68,0.5,0.6,0.1,0.8,0.6,12.1,0.0,1
34,0,12,3,2,0.9,1,6.33,0.2,0.3,1.0,0.5,0.2,14.2,0.0,19
20,2,11,0,1,0.0,0,6.69,1.6,2.1,2.7,0.3,0.7,36.8,0.0,6
23,1,0,0,0,0.6,0,5.97,0.4,0.6,0.0,0.2,0.0,7.4,0.0,16
20,0,5,2,2,1.2,0,6.28,0.2,0.0,0.2,0.5,0.9,8.0,0.1,17
34,0,30,13,3,1.5,5,6.68,0.5,0.3,0.2,0.9,0.8,16.4,0.1,14
21,1,3,0,1,0.3,0,6.37,0.9,1.7,1.4,0.4,0.7,22.4,0.0,8
34,1,13,0,0,0.3,0,6.53,2.3,2.4,2.5,0.1,0.1,23.1,0.0,18
23,2,12,0,1,0.3,0,6.81,2.3,3.1,3.4,0.4,0.4,18.9,0.0,19
30,1,4,2,1,0.4,0,6.53,0.6,0.4,0.7,0.4,0.3,26.4,0.0,2
39,3,36,0,0,0.0,0,6.54,0.1,0.1,0.6,0.0,0.1,28.3,0.0,20
21,0,0,0,0,0.5,0,6.11,0.5,0.5,0.0,0.0,0.0,5.0,0.0,16
29,0,5,1,0,0.4,0,6.25,0.6,0.1,0.3,0.3,0.2,7.0,0.0,20
20,1,17,2,0,0.3,1,6.47,1.1,0.6,0.7,0.2,0.8,33.1,0.0,9
21,2,20,0,1,0.2,0,6.67,1.3,1.6,6.5,0.2,0.1,22.9,0.0,19
30,2,26,1,0,0.3,3,7.27,1.9,2.5,11.1,0.1,0.0,22.1,0.0,15
31,0,30,6,2,1.7,2,6.76,1.4,0.4,2.0,0.6,0.3,15.9,0.0,19
20,1,2,0,1,0.0,0,6.26,0.3,0.8,0.3,0.3,0.3,26.5,0.0,6
31,2,15,2,1,1.0,1,6.57,1.6,0.6,0.3,0.8,1.1,18.0,0.0,17
33,1,21,2,0,0.2,0,6.39,1.0,0.8,0.8,0.8,0.4,29.1,0.0,14
21,2,7,0,1,0.1,0,6.61,3.2,1.2,2.8,0.3,0.1,15.8,0.0,13
25,0,1,0,0,0.0,0,6.22,0.5,0.5,0.0,0.0,0.0,15.5,0.0,3
25,3,4,0,0,0.0,0,5.77,0.0,0.0,0.3,0.0,0.0,26.5,0.0,17
23,1,1,0,0,0.4,0,6.14,0.6,0.2,0.0,0.2,0.2,6.8,0.0,19
26,2,1,1,0,1.0,0,6.78,1.0,0.0,2.0,0.0,0.0,33.0,0.0,15
32,0,0,0,0,0.4,0,6.21,0.2,0.2,0.0,0.6,0.6,11.6,0.0,12
25,1,16,0,1,1.2,0,6.61,1.0,1.2,0.5,0.8,1.2,23.2,0.0,9
26,2,29,1,0,0.9,1,6.77,1.0,1.6,2.9,0.2,0.6,63.4,0.0,16
27,3,7,0,0,0.0,0,6.45,0.0,0.0,1.9,0.0,0.0,30.1,0.0,19
28,1,23,2,1,0.9,1,7.09,3.6,1.2,1.8,1.3,0.4,49.8,0.0,9
18,0,0,0,0,1.0,0,6.13,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5
31,1,8,0,0,0.3,0,6.27,0.8,0.9,1.6,0.2,0.1,18.1,0.0,18
36,3,37,0,0,0.0,0,6.41,0.0,0.1,0.5,0.0,0.0,30.3,0.0,5
22,1,0,0,0,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,11
35,1,21,15,1,2.8,2,7.08,1.2,0.9,0.9,1.1,0.3,42.9,0.1,3
19,0,0,0,0,0.3,0,5.99,0.3,0.0,0.0,0.3,0.0,4.5,0.0,15
